source_order,lesson,word,phonetic,meaning_cn,example_en,example_cn,tag
32,1,compose,,vt. 组成，构成；创作（乐曲、诗歌等），为…谱曲； 使平静，使镇静,,,CET6-Lesson1
33,1,replace,,vt. 代替，取代；更换，调换,,,CET6-Lesson1
34,1,authentic,,a. 真正的；可靠的,,,CET6-Lesson1
35,1,whale,,n. 鲸,,,CET6-Lesson1
36,1,resist,,vt. 抵抗；抗（病等），耐（热等）； 忍住，拒受…的影响；vi. 抵抗,,,CET6-Lesson1
37,1,routine,,n. 例行公事 a. 例行的,,,CET6-Lesson1
38,1,extend,,vt. 延伸；扩大，扩展 ；达到；vi. 伸展,,,CET6-Lesson1
39,1,protective,,a. 保护的,,,CET6-Lesson1
40,1,vigorous,,a. 有力的；精力充沛的,,,CET6-Lesson1
41,1,productive,,a. 多产的，富饶的；富有成效的,,,CET6-Lesson1
42,1,fancy,,vt. 喜欢；想要；想象；猜想 n. 爱好，迷恋；想象力；设想，空想,,,CET6-Lesson1
43,1,evolve,,v. （使）演变，（使）进化,,,CET6-Lesson1
44,1,evidence,,n. 根据，证据，迹象,,,CET6-Lesson1
45,1,ancient,,a. 古代的；年老的,,,CET6-Lesson1
46,1,permanent,,a. 永久（性）的，固定的,,,CET6-Lesson1
47,1,frost,,n. 霜冻；霜，白霜 v. 结霜（于）,,,CET6-Lesson1
48,1,planet,,n. 行星,,,CET6-Lesson1
49,1,optical,,a. 光（学）的；眼的，视觉的,,,CET6-Lesson1
50,1,detection,,n. 发觉，察觉；侦查,,,CET6-Lesson1
51,1,additional,,a. 添加的，额外的,,,CET6-Lesson1
52,1,revolutionary,,a. 革命的，革新的,,,CET6-Lesson1
53,1,consequence,,n. 结果,,,CET6-Lesson1
54,1,biology,,n. 生物学,,,CET6-Lesson1
55,1,astronomy,,n. 天文学,,,CET6-Lesson1
56,1,philosophy,,n. 哲学；哲理,,,CET6-Lesson1
57,1,universe,,n. 宇宙，世界；领域,,,CET6-Lesson1
58,1,colony,,n. 殖民地；（侨民等）聚居区，聚居地； （动植物的）群体，集群,,,CET6-Lesson1
59,1,sufficient,,a. 足够的，充分的,,,CET6-Lesson1
60,1,insurance,,n. 保险；保证,,,CET6-Lesson1
61,1,catastrophe,,n. 大灾难,,,CET6-Lesson1
62,1,foresee,,vt. 预见，预知,,,CET6-Lesson1
63,1,afflict,,vt. 使苦恼，折磨,,,CET6-Lesson1
64,1,prescribe,,vt. 开（药）；规定,,,CET6-Lesson1
65,1,severe,,a. 严重的；严厉的，严格的； 严峻的，艰难的；朴素的，不加装饰的,,,CET6-Lesson1
66,1,cord,,n. （细）绳,,,CET6-Lesson1
67,1,injure,,vt. 伤害，损害，损伤,,,CET6-Lesson1
68,1,appliance,,n. 器具，装置,,,CET6-Lesson1
69,1,automobile/auto,,n. 汽车,,,CET6-Lesson1
70,1,manufacturer,,n. 制造商，制造厂,,,CET6-Lesson1
71,1,certify,,vt. 证明；发证书给,,,CET6-Lesson1
72,1,predict,,vt. 预言，预测，预告,,,CET6-Lesson1
73,1,nerve,,n. 神经；勇气，胆量,,,CET6-Lesson1
74,1,replacement,,n. 代替，取代；更换，调换； 替代的人（或物）,,,CET6-Lesson1
75,1,senior,,a. 资格较老的；年长的 n. 较年长者；（中学或大学的）毕业班学生,,,CET6-Lesson1
76,1,distinguish,,vt. 区分；看清；（oneself）使杰出,,,CET6-Lesson1
77,1,global,,a. 全球的；总的,,,CET6-Lesson1
78,1,disaster,,n. 灾难；彻底的失败,,,CET6-Lesson1
79,1,survive,,vi. 幸存，活下来 vt. 从…逃出；从（困境等）中挺过来；比…活得长,,,CET6-Lesson1
80,1,evolution,,n. 演变，进化,,,CET6-Lesson1
81,1,amount,,n. 量，数量，数额；总额，总数 vi. （to） 合计，共计；等同，接近,,,CET6-Lesson1
82,1,artificial,,a. 人造的，人工的；矫揉造作的，假的,,,CET6-Lesson1
83,1,intelligence,,n. 智力，智慧；情报,,,CET6-Lesson1
84,1,overcome,,vt. 克服，战胜；压倒,,,CET6-Lesson1
85,1,significant,,a. 相当数量的；重要的，意义重大的； 意味深长的,,,CET6-Lesson1
86,1,breakthrough,,n. 突破，突破性进展，重要的新发现,,,CET6-Lesson1
87,1,toxic,,a. 有毒的，因中毒引起的,,,CET6-Lesson1
88,1,carbon,,n. 碳,,,CET6-Lesson1
89,1,dioxide,,n. 二氧化物,,,CET6-Lesson1
90,1,challenge,,n. 艰巨的任务；怀疑；挑战 vt. 反对；向…挑战；对…质疑,,,CET6-Lesson1
91,1,reward,,n. 报答；奖赏，酬金，报酬；vt.报答,,,CET6-Lesson1
92,1,moral,,a. 道德（上）的 n. [pl.]道德，寓意,,,CET6-Lesson1
93,1,framework,,n. 框架，构架；参照标准，准则，观点； 构成方式，体系,,,CET6-Lesson1
94,1,interaction,,n. 相互作用,,,CET6-Lesson1
95,1,absurd,,a. 荒谬的，荒唐的,,,CET6-Lesson1
96,1,display,,n./vt. 陈列，展览；显示,,,CET6-Lesson1
97,1,knit,,vt.编结，编织；使紧密地结合，使紧凑；皱紧，皱（眉）vi.编结，编织,,,CET6-Lesson1
98,1,community,,n. 社区；团体；群落,,,CET6-Lesson1
99,1,solution,,n. 解决；解决方法；解答；溶液,,,CET6-Lesson1
100,1,crisis,,n. 危机；决定性时刻,,,CET6-Lesson1
101,1,harm,,n./vt. 伤害，损害，危害,,,CET6-Lesson1
102,1,donate,,v. 捐赠，赠送,,,CET6-Lesson1
103,1,transplant,,vt. 移栽；移植（器官）；使迁移，使移居 n.（器官）移植,,,CET6-Lesson1
104,1,relieve,,vt. 使轻松，使宽慰；缓解，减轻，解除； 使得到调剂；接替，替下,,,CET6-Lesson1
105,1,setting,,n. 环境，（小说等的）背景，（舞台等的）布景； 调节，设定的位置,,,CET6-Lesson1
106,1,acquire,,vt. 取得，获得；学到,,,CET6-Lesson1
107,1,ample,,a. 足够的；宽敞的，面积大的,,,CET6-Lesson1
108,1,resource,,n. [pl.]资源；应付办法,,,CET6-Lesson1
109,1,manufacture,,vt. （大量）制造 n. （大量）制造，制造业；[pl.]制造品,,,CET6-Lesson1
110,1,dynamic,,a. 有活力的；不断变化或增长的；动力的n.（原）动力；-s 动力学,,,CET6-Lesson1
111,1,fiber/-bre,,n. 纤维（物质）,,,CET6-Lesson1
112,1,surgery,,n. 外科；外科手术，手术室,,,CET6-Lesson1
113,1,terrific,,a. 极妙的；极大的,,,CET6-Lesson1
114,1,budget,,n. 预算，预算拨款 vi. （for）编预算，做安排 adj.低廉的；vt. 规划，安排,,,CET6-Lesson1
115,1,cafeteria,,n. 自助餐馆,,,CET6-Lesson1
116,1,practically,,ad. 几乎；实际上,,,CET6-Lesson1
117,1,financial,,a. 财政的，金融的,,,CET6-Lesson1
118,1,burden,,n. 重担，精神负担；使重负，负荷 vt. 加重压于，烦扰；负重，装载,,,CET6-Lesson1
119,1,nuisance,,n. 令人讨厌的东西（或状况、行为），讨厌的人,,,CET6-Lesson1
120,1,spill,,v. （使）溢出，（使）洒落；n. 溢出,,,CET6-Lesson1
121,1,shed,,vt. 脱落，脱去；流出，流下； 发出（光等），散发；摆脱，去掉 n. 棚屋,,,CET6-Lesson1
122,1,complex,,a. 由许多部分组成的，复合的；复杂的 n. 综合体，集合体,,,CET6-Lesson1
123,1,retrieve,,vt. 重新得到；挽回,,,CET6-Lesson1
124,1,polish,,vt. 磨光；润色，修改 n. 擦光剂,,,CET6-Lesson1
125,1,submit,,vi. （to）屈服 ，提交；主张；vt. 呈送,,,CET6-Lesson1
126,1,assignment,,n. （分派的）任务，（指定的）作业； 分配，指派,,,CET6-Lesson1
127,1,agency,,n. 代理行；专业行政部门,,,CET6-Lesson1
128,1,academic,,a. 学校的，学院的；学术的 n. 大学教师,,,CET6-Lesson1
129,1,calendar,,n. 日历，月历,,,CET6-Lesson1
130,1,imply,,vt. 暗示，含有…的意思,,,CET6-Lesson1
131,1,loan,,n. 贷款，借，贷 vt. 借出，贷给,,,CET6-Lesson1
132,1,application,,n. 申请，申请表；应用，实施，实用性； 施用，敷用，涂抹,,,CET6-Lesson1
133,1,brochure,,n. 小册子,,,CET6-Lesson1
134,1,eligible,,a. 有条件被选中的，有恰当资格的； （尤指婚姻等）合适的，合意的,,,CET6-Lesson1
135,1,release,,vt./n. 释放，排放；解除，解脱； 放开，松开；发布，发行,,,CET6-Lesson1
136,1,amazing,,a. 令人吃惊的，惊人的,,,CET6-Lesson1
137,1,bulb,,n. 电灯泡；球状物，球茎,,,CET6-Lesson1
138,1,absolute,,a. 十足的，地道的；绝对的，完全的； 不受任何限制（或约束）的,,,CET6-Lesson1
139,1,enormous,,a. 巨大的，极大的,,,CET6-Lesson1
140,1,numerous,,a. 众多的，许多的,,,CET6-Lesson1
141,1,appeal,,n. 呼吁；恳求，感染力；申诉，上诉 vt. 将…上诉 vi. 呼吁；有吸引力，有感染力；上诉，申诉；（to）诉诸，诉请裁决（或证实等）,,,CET6-Lesson1
142,1,surroundings,,n. 环境,,,CET6-Lesson1
143,1,antique,,a. 古老的，古时的 n. 古董,,,CET6-Lesson1
144,1,memorial,,a. 纪念的 n. 纪念碑,,,CET6-Lesson1
145,1,generate,,vt. 产生；引起,,,CET6-Lesson1
146,1,assure,,vt. 使确信；确保,,,CET6-Lesson1
147,1,account,,n. 记述；账户；解释 vi. （for） 说明…的原因； （在数量、比例方面）占,,,CET6-Lesson1
148,1,exaggerate,,v. 夸大，夸张,,,CET6-Lesson1
149,1,reasonable,,a. 通情达理的，讲道理的；合理的，有道理的； （价钱）公道的,,,CET6-Lesson1
150,1,fantastic,,a. 极好的；极大的，难以相信的； 异想天开的，不实际的,,,CET6-Lesson1
151,1,transfer,,vt. 搬，转移；调动，转学；转让，过户 vi. 迁移，转移；调动，转学；转车，换乘； n. 转移，调动；转车，换乘,,,CET6-Lesson1
152,1,preparation,,n. 准备工作；制剂,,,CET6-Lesson1
153,1,satisfactory,,a. 令人满意的,,,CET6-Lesson1
154,1,vehicle,,n. 交通工具，车辆；传播媒介,,,CET6-Lesson1
155,1,craft,,n. 工艺；船，航空器，航天器,,,CET6-Lesson1
156,1,regulation,,n. 规则，规章；管理；调节,,,CET6-Lesson1
157,1,argument,,n. 争论；论据，说理，理由,,,CET6-Lesson1
158,1,compel,,vt. 强迫，迫使,,,CET6-Lesson1
159,1,recreation,,n. 娱乐活动，消遣,,,CET6-Lesson1
160,1,crash,,vi. 碰撞；坠落，发出撞击（或爆裂）声；垮台 vt. 撞击；冲，闯 n. 碰撞；破裂声,,,CET6-Lesson1
161,1,collision,,n. 碰撞；冲突，抵触,,,CET6-Lesson1
162,1,ignorant,,a. （of）不知道的；无知的，愚昧的,,,CET6-Lesson1
163,1,navigation,,n. 航行（学），航海（术），航空（术）； 导航，领航,,,CET6-Lesson1
164,1,potential,,a. 潜在的，可能的 n. 潜力，潜能,,,CET6-Lesson1
165,1,aggravate,,vt. 加重；激怒,,,CET6-Lesson1
166,1,compete,,vi. 竞争，比赛,,,CET6-Lesson1
167,1,addition,,n. 加法；增加的人（或物）,,,CET6-Lesson1
168,1,inherent,,a. （in）内在的；固有的,,,CET6-Lesson1
169,1,hazard,,n. 危险 vt. 尝试着做；冒…风险,,,CET6-Lesson1
170,1,resident,,n. 居民；住院医生 a. 居住的；住校的，住院的，住在住所的,,,CET6-Lesson1
171,1,complain,,vi. 抱怨；投诉,,,CET6-Lesson1
172,1,foundation,,n. [pl.]地基；基础，基本原理，根据； 基金会；建立，设立，创办,,,CET6-Lesson1
173,1,concern,,n. 关切的事；关心，担心；关系，关联 vt. 涉及，有关于；使关心,,,CET6-Lesson1
174,1,species,,n. 种，类,,,CET6-Lesson1
175,1,migrate,,vi. 迁徙；移居,,,CET6-Lesson1
176,1,breed,,n. 种，品种 vi. 繁殖，产仔 vt. 饲养，繁殖；养育，培育； 酿成，产生,,,CET6-Lesson1
177,1,restrict,,vt. 限制，约束，限定,,,CET6-Lesson1
178,1,compulsory,,a. 强制性的，必修的，必须做的,,,CET6-Lesson1
179,1,essential,,a. 必不可少的；本质的，实质的，基本的；n. 要素；必需品,,,CET6-Lesson1
180,1,tragedy,,n. 惨事，灾难；悲剧,,,CET6-Lesson1
181,1,multiply,,v. 增加，繁殖；乘,,,CET6-Lesson1
182,1,designate,,vt. 指派，委任；标出,,,CET6-Lesson1
183,1,efficient,,a. 效率高的,,,CET6-Lesson1
184,1,means,,n. 方法，手段；金钱，财产,,,CET6-Lesson1
185,1,disregard,,vt./n. 漠视,,,CET6-Lesson1
186,1,overload,,vt. 超过负荷，使超载 n. 超载,,,CET6-Lesson1
187,1,scare,,n. 惊恐，恐慌 vt. 使害怕；vi. 受惊吓，感到害怕,,,CET6-Lesson1
188,1,discharge,,vt. 允许，离开，释放；发射；卸（货） vi./n. 排出，放电,,,CET6-Lesson1
189,1,propose,,v. 提议，建议，提出；提名，推荐； 打算，计划；求婚,,,CET6-Lesson1
190,1,ensure,,vt. 保证，担保，确保,,,CET6-Lesson1
191,1,expand,,v. 扩大，扩张，扩展；膨胀,,,CET6-Lesson1
192,1,enforce,,vt. 实施，执行；强迫,,,CET6-Lesson1
193,2,wander,,vi. 漫游；偏离正道；走神,,,CET6-Lesson2
194,2,estate,,n. 土地，财产，住宅区；地产； 庄园；（在乡村的）大片私有土地,,,CET6-Lesson2
195,2,arise,,vi. 产生，出现，发生； （from）（由…）引起，（由…）产生，起源于； 起身，起床,,,CET6-Lesson2
196,2,emergency,,n. 紧急情况，非常时刻,,,CET6-Lesson2
197,2,boundary,,n. 分界线，边界,,,CET6-Lesson2
198,2,define,,vt. 给…下定义；限定,,,CET6-Lesson2
199,2,stable,,a. 稳定的；沉稳的 n. 马厩,,,CET6-Lesson2
200,2,strain,,n. 拉紧；过劳，极度紧张；张力 vt. 扭伤；尽力使用；拉紧 n.旋律；品种；气质 vi. 尽力,,,CET6-Lesson2
201,2,occupy,,vt. 占用，占领；使忙碌,,,CET6-Lesson2
202,2,attach,,vt. 系，贴，连接；使依恋，使喜爱； 认为有（重要性、责任等）；使附属,,,CET6-Lesson2
203,2,reflect,,v. 反映，显示；反射，映现,,,CET6-Lesson2
204,2,junior,,a. 年少的；资历较浅的， n. 年少者；晚辈；三年级学生,,,CET6-Lesson2
205,2,personnel,,n. 人员，员工；人事部门,,,CET6-Lesson2
206,2,urban,,a. 城市的,,,CET6-Lesson2
207,2,maintain,,vt. 维持；维修；坚持，赡养,,,CET6-Lesson2
208,2,consequently,,ad. 所以,,,CET6-Lesson2
209,2,identify,,vt. 认出，鉴定；（with）把…等同于 vi. （with）认同,,,CET6-Lesson2
210,2,focus,,v. （on）（使）聚集 n. 焦点，焦距，聚焦；（注意、活动等的）中心,,,CET6-Lesson2
211,2,permission,,n. 许可，准许,,,CET6-Lesson2
212,2,guidance,,n. 指引，指导，领导,,,CET6-Lesson2
213,2,strategy,,n. 战略，策略,,,CET6-Lesson2
214,2,motivate,,vt. 激励,,,CET6-Lesson2
215,2,scholar,,n. 学者；奖学金获得者,,,CET6-Lesson2
216,2,athlete,,n. 运动员，体育家,,,CET6-Lesson2
217,2,affect,,v. 影响,,,CET6-Lesson2
218,2,idle,,a. 懒散的；空闲的；无用的 vi. 懒散，无所事事 vt. （away）虚度（光阴）,,,CET6-Lesson2
219,2,rural,,a. 农村的,,,CET6-Lesson2
220,2,climate,,n. 气候；风气，气氛,,,CET6-Lesson2
221,2,favo(u)rable,,a. 称赞的，赞同的；有利的，顺利的,,,CET6-Lesson2
222,2,performance,,n. 表演；履行； 工作情况，表现，（机器等）工作性能,,,CET6-Lesson2
223,2,criminal,,n. 罪犯 a. 犯罪的,,,CET6-Lesson2
224,2,justice,,n. 正义；公正；司法，法律制裁,,,CET6-Lesson2
225,2,complicate,,vt. 使复杂化；使卷入，牵连 vi. 变复杂,,,CET6-Lesson2
226,2,jail/gaol,,n. 监狱 vt. 监禁，拘留,,,CET6-Lesson2
227,2,debt,,n. 欠款，债务，负债,,,CET6-Lesson2
228,2,incur,,vt. 招致，遭受，引起,,,CET6-Lesson2
229,2,influence,,n. 影响，影响力； 产生影响力的人（或事物）；势力；vt. 影响,,,CET6-Lesson2
230,2,harden,,v. （使）变硬，（使）硬化； （使）变得坚强，（使）变得冷酷无情,,,CET6-Lesson2
231,2,crime,,n. 罪，罪行，犯罪,,,CET6-Lesson2
232,2,alternative,,a. 两者择一的；另类的，抉择 n. 取舍；选择的自由,,,CET6-Lesson2
233,2,restore,,vt. 恢复；修复，整修；归还,,,CET6-Lesson2
234,2,punishment,,n. 惩罚,,,CET6-Lesson2
235,2,plea,,n. 恳求；抗辩，答辩；借口,,,CET6-Lesson2
236,2,insane,,a. 荒唐的，精神失常的，蠢极的；（患）精神病的,,,CET6-Lesson2
237,2,guilty,,a. 内疚的；有罪的,,,CET6-Lesson2
238,2,commit,,vt. 犯（错误、罪行等），干（蠢事、坏事等）； （oneself）使承担义务，使承诺,,,CET6-Lesson2
239,2,reaction,,n. 反应；反作用；（against）反动,,,CET6-Lesson2
240,2,preview,,n. （电影、戏剧等的）预映，预演； （电影等的）预告（片）,,,CET6-Lesson2
241,2,image,,n. 形象，声誉；印象；图像；映像,,,CET6-Lesson2
242,2,audience,,n. 听众，观众，读者,,,CET6-Lesson2
243,2,response,,n. 回答；反应，响应,,,CET6-Lesson2
244,2,dramatic,,a. 引人注目的；戏剧性的；戏剧的 n. [-s]戏剧表演,,,CET6-Lesson2
245,2,rare,,a. 稀有的；珍奇的；稀薄的,,,CET6-Lesson2
246,2,screen,,n. 屏幕；屏风，帘，纱窗 vt. 掩蔽；放映（电影），播放（电视节目）；审查,,,CET6-Lesson2
247,2,feature,,n. 特征，特色；[pl.]面貌，相貌； 特写，专题节目 vt. 突出，由…主演,,,CET6-Lesson2
248,2,explicit,,a. 详述的，明述的；明确的；直言的,,,CET6-Lesson2
249,2,ignite,,vt. 点燃，引发 vi. 着火,,,CET6-Lesson2
250,2,emotional,,a.令人动情的；情绪激动的；表现强烈情感的；易动感情的； 感情（上）的，情绪（上）的,,,CET6-Lesson2
251,2,debate,,n./v. 辩论，争论,,,CET6-Lesson2
252,2,anniversary,,n. 周年纪念,,,CET6-Lesson2
253,2,approach,,v. 靠近，接近 n. 靠近，接近，临近；途径；方式，方法,,,CET6-Lesson2
254,2,deserve,,vt. 应受，应得，值得,,,CET6-Lesson2
255,2,crew,,n. 全体机务人员，一对工作人员，全体员工,,,CET6-Lesson2
256,2,proceeding,,n. 进程，过程，议程；诉讼，诉讼程序； 会议录，公报,,,CET6-Lesson2
257,2,approval,,n. 同意；批准，认可,,,CET6-Lesson2
258,2,victim,,n. 牺牲品，受害者,,,CET6-Lesson2
259,2,reluctant,,a. 不情愿的,,,CET6-Lesson2
260,2,gross,,a. 总的 vt. 获得…总收入,,,CET6-Lesson2
261,2,fund,,n. 基金，专款；储备，蕴藏；[pl.]存款，资金，现款 vt. 为…提供资金，给…拨款,,,CET6-Lesson2
262,2,criticism,,n. 批评；评论,,,CET6-Lesson2
263,2,studio,,n. 画室；摄影室，播音室，录音室,,,CET6-Lesson2
264,2,exploit,,vt. 剥削；利用，开发，开采 n. [常pl.]业绩，功绩，功勋,,,CET6-Lesson2
265,2,secure,,a. 安全的；牢固的；无忧虑的 vt. 得到，获得；使安全,,,CET6-Lesson2
266,2,border,,n. 边缘，界线；边界 vt. 给…加上边，围；邻接 vi. （on）近似；与…接壤,,,CET6-Lesson2
267,2,obtain,,vt. 获得 vi. 通用，流行,,,CET6-Lesson2
268,2,proceed,,vi. 进行，继续下去； （沿特定路线）行进，（朝特定方向）前进,,,CET6-Lesson2
269,2,criticize/-ise,,vt. 批评；评论,,,CET6-Lesson2
270,2,security,,n. 安全；抵押品，pl.证券,,,CET6-Lesson2
271,2,asset,,n. 优点；常pl.资产，财产,,,CET6-Lesson2
272,2,hedge,,n. （矮树）树篱；防备，障碍物 vt. 用篱笆围 vi. 避免直接回答,,,CET6-Lesson2
273,2,slump,,vi. 暴跌；突然倒下 n. 萧条期，低潮,,,CET6-Lesson2
274,2,esteem,,n./vt. 尊重，敬重,,,CET6-Lesson2
275,2,currency,,n. 通货，货币；通行,,,CET6-Lesson2
276,2,import,,n. 进口，输入；常pl.进口商品，输入额；vt. 进口，输入,,,CET6-Lesson2
277,2,exert,,vt. 尽力，用（力）；运用，发挥,,,CET6-Lesson2
278,2,pressure,,n. 压（力）；强制，压迫,,,CET6-Lesson2
279,2,substantial,,a. 可观的，大量的；牢固的，结实的； 实质的，真实的,,,CET6-Lesson2
280,2,sector,,n. 部门；部分；防御地段；扇形,,,CET6-Lesson2
281,2,economy,,n. 经济；省俭,,,CET6-Lesson2
282,2,giant,,n. 巨人，才智超群的人 a. 巨大的,,,CET6-Lesson2
283,2,arrogant,,a. 傲慢的，自大的,,,CET6-Lesson2
284,2,hostile,,a. 敌意的，敌对的，不友善的,,,CET6-Lesson2
285,2,trend,,n. 趋向；时尚，时新款式,,,CET6-Lesson2
286,2,peak,,n. 山峰，顶点，顶峰 vi. 达到高峰，达到最大值 a. 最大值的，高峰的,,,CET6-Lesson2
287,2,decrease,,v. 减小，减少；n. 减小，减少（量）,,,CET6-Lesson2
288,2,deficit,,n. 赤字，亏空，亏损,,,CET6-Lesson2
289,2,soar,,vi. 猛增，剧增；高飞，升腾； （情绪、期望等）高涨；高耸，屹立,,,CET6-Lesson2
290,2,corporation,,n. 公司,,,CET6-Lesson2
291,2,gamble,,"vi.（on）赌博；（on, in）投机，冒险；vt. 赌，以…为赌注；n. 赌博；投机",,,CET6-Lesson2
292,2,stock,,n. 备料，库存，现货；股票，公债； [总称]家畜，牲畜 v. 储备 a. 常用的,,,CET6-Lesson2
293,2,bubble,,n. 泡，水泡，气泡 vi. 冒泡,,,CET6-Lesson2
294,2,profit,,"n. 利润 vt. 有益于；vi. （by, from）得益",,,CET6-Lesson2
295,2,relief,,n. 轻松，宽慰；（痛苦等）缓解，减轻，解除； 使得到调剂；接替，替下,,,CET6-Lesson2
296,2,inflict,,"vt. （on, upon）把…强加给，使遭受",,,CET6-Lesson2
297,2,pathetic,,a. 差劲的；引起怜悯的，可怜的,,,CET6-Lesson2
298,2,current,,a.当前的，现时的；流行的 n. （空气、水等的）流，潮流；电流；趋势,,,CET6-Lesson2
299,2,contempt,,n. 轻视，轻蔑,,,CET6-Lesson2
300,2,sympathetic,,a. 同情的，体谅的； （to）赞同的，支持的；和谐的，合意的,,,CET6-Lesson2
301,2,decline,,n. 下降，减少 vi. 下降，减少；衰退，衰落；谢绝，拒绝；vt. 谢绝，拒绝,,,CET6-Lesson2
302,2,destination,,n. 目的地，终点；目标,,,CET6-Lesson2
303,2,margin,,n. 页边空白；差数，差额； 余地，余裕；边，边缘,,,CET6-Lesson2
304,2,admission,,n. 准许进入；入场费，承认,,,CET6-Lesson2
305,2,survey,,n. 调查；测量；全面审视 vt. 调查；测量；全面审视；概括论述,,,CET6-Lesson2
306,2,acknowledge,,vt. 承认，承认…的权威（或主张）； 告知收到，确认,,,CET6-Lesson2
307,2,contrive,,vt. 谋划，策划；设法做到；想出；设计,,,CET6-Lesson2
308,2,justification,,n. 正当的理由；借口,,,CET6-Lesson2
309,2,myth,,n. 杜撰出来的人（或事物）；神话,,,CET6-Lesson2
310,2,prestige,,n. 威信，威望,,,CET6-Lesson2
311,2,panic,,n. 恐慌 ；v.（使）恐慌,,,CET6-Lesson2
312,2,fearful,,a. 吓人的，可怕的；不安的，忧虑的,,,CET6-Lesson2
313,2,urge,,vt. 鼓励，激励；竭力主张，强烈要求； 催促，力劝 n. 强烈的欲望，迫切的要求,,,CET6-Lesson2
314,2,belief,,n. 相信，信任；信念，信仰,,,CET6-Lesson2
315,2,scarce,,a. 缺乏的；罕见的；稀少的,,,CET6-Lesson2
316,2,elite,,n. [总称]上层人士；精英,,,CET6-Lesson2
317,2,graduate,,n. （尤指大学）毕业生；研究生；v.（使）毕业；n.毕业,,,CET6-Lesson2
318,2,plausible,,a. 似有道理的,,,CET6-Lesson2
319,2,feedback,,n. 反馈，反馈信息,,,CET6-Lesson2
320,2,enhance,,vt. 提高，增加，加强,,,CET6-Lesson2
321,2,reckon,,vt. 认为；（on）指望；测算,,,CET6-Lesson2
322,2,status,,n. 地位，身份；情形，状况,,,CET6-Lesson2
323,2,signify,,vt. 表示…的意思，预示；意味,,,CET6-Lesson2
324,2,talent,,n. 才能，天资；人才,,,CET6-Lesson2
325,2,ambition,,n. 抱负，祈望得到的东西，雄心，野心,,,CET6-Lesson2
326,2,paradox,,n. 似乎矛盾而（可能）正确的说法； 自相矛盾的人（或事物）,,,CET6-Lesson2
327,2,significance,,n. 意义；重要性,,,CET6-Lesson2
328,2,competent,,a. 有能力的，能胜任的,,,CET6-Lesson2
329,2,stake,,n. 桩，标桩；利害关系，股份； 赌本，赌注 vt. 以…打赌，拿…冒险,,,CET6-Lesson2
330,2,competitive,,a. 竞争的，比赛的；好竞争的； （价格等）有竞争力的,,,CET6-Lesson2
331,2,adjust,,vt. 校正，校准，调整；调节，改变…以适应 vi. （to）适应,,,CET6-Lesson2
