title,category,pattern_en,pattern_cn,example_en,example_cn,slots,usage_note,difficulty,tag,source_order,source
归因于,原因分析,This phenomenon can be attributed to [reason].,这一现象可归因于[原因]。,This phenomenon can be attributed to the increasing pressure of modern life.,这一现象可归因于现代生活压力的增加。,[reason].,适用于六级作文/翻译中的“原因分析”功能。,1,CET6-Writing,23,P10.1.1 curated seed
部分因为,原因分析,This is partly because [reason].,这部分是因为[原因]。,This is partly because online resources are more accessible than ever before.,这部分是因为在线资源比以往任何时候都更容易获取。,[reason].,适用于六级作文/翻译中的“原因分析”功能。,2,CET6-Writing,24,P10.1.1 curated seed
深层原因,原因分析,A deeper reason lies in [deeper reason].,更深层的原因在于[深层原因]。,A deeper reason lies in the lack of long-term planning among some students.,更深层的原因在于一些学生缺乏长期规划。,[deeper reason],适用于六级作文/翻译中的“原因分析”功能。,2,CET6-Writing,25,P10.1.1 curated seed
直接导致,原因分析,One direct cause of [result] is [cause].,[结果]的一个直接原因是[原因]。,One direct cause of poor sleep quality is excessive smartphone use before bedtime.,睡眠质量差的一个直接原因是睡前过度使用智能手机。,[result]; [cause].,适用于六级作文/翻译中的“原因分析”功能。,2,CET6-Writing,26,P10.1.1 curated seed
环境因素,原因分析,External factors such as [factor] also play a role.,[因素]等外部因素也发挥作用。,External factors such as family environment also play a role.,家庭环境等外部因素也发挥作用。,[factor],适用于六级作文/翻译中的“原因分析”功能。,2,CET6-Writing,27,P10.1.1 curated seed
个人因素,原因分析,"Personal factors, including [factor], should not be ignored.",包括[因素]在内的个人因素不应被忽视。,"Personal factors, including self-discipline, should not be ignored.",包括自律在内的个人因素不应被忽视。,"[factor],",适用于六级作文/翻译中的“原因分析”功能。,2,CET6-Writing,28,P10.1.1 curated seed
双重原因,原因分析,Both [reason A] and [reason B] account for this trend.,[原因A]和[原因B]共同解释了这一趋势。,Both peer pressure and academic competition account for this trend.,同伴压力和学业竞争共同解释了这一趋势。,[reason A]; [reason B],适用于六级作文/翻译中的“原因分析”功能。,3,CET6-Writing,29,P10.1.1 curated seed
根本问题,原因分析,At the root of the problem is [root cause].,问题的根源在于[根本原因]。,At the root of the problem is the imbalance between work and rest.,问题的根源在于工作与休息之间的不平衡。,[root cause],适用于六级作文/翻译中的“原因分析”功能。,3,CET6-Writing,30,P10.1.1 curated seed
例如,举例说明,"For example, [example].",例如，[例子]。,"For example, many universities encourage students to join volunteer programs.",例如，许多大学鼓励学生参加志愿服务项目。,[example].,适用于六级作文/翻译中的“举例说明”功能。,1,CET6-Writing,31,P10.1.1 curated seed
一个例子,举例说明,A case in point is [example].,一个恰当的例子是[例子]。,A case in point is the growing use of digital libraries on campus.,一个典型例子是校园数字图书馆的使用日益增加。,[example].,适用于六级作文/翻译中的“举例说明”功能。,1,CET6-Writing,32,P10.1.1 curated seed
以某事为例,举例说明,Take [example] as an example.,以[例子]为例。,Take shared bicycles as an example.,以共享单车为例。,[example],适用于六级作文/翻译中的“举例说明”功能。,1,CET6-Writing,33,P10.1.1 curated seed
事实证明,举例说明,Facts show that [example/result].,事实表明，[例子/结果]。,Facts show that regular exercise can reduce stress and improve concentration.,事实证明，规律运动可以减轻压力并提高专注力。,[example/result].,适用于六级作文/翻译中的“举例说明”功能。,2,CET6-Writing,34,P10.1.1 curated seed
调查显示,举例说明,A recent survey indicates that [finding].,最近一项调查显示，[发现]。,A recent survey indicates that more students prefer flexible learning schedules.,最近一项调查显示，更多学生偏好灵活的学习安排。,[finding].,适用于六级作文/翻译中的“举例说明”功能。,2,CET6-Writing,35,P10.1.1 curated seed
生活例子,举例说明,This can be seen in [daily example].,这一点可以从[日常例子]中看出。,This can be seen in the way people use mobile payment in daily life.,这一点可以从人们在日常生活中使用移动支付的方式中看出。,[daily,适用于六级作文/翻译中的“举例说明”功能。,2,CET6-Writing,36,P10.1.1 curated seed
校园例子,举例说明,"On campus, [example] is a typical illustration.",在校园里，[例子]就是典型说明。,"On campus, the popularity of study groups is a typical illustration.",在校园里，学习小组的流行就是一个典型例证。,[example],适用于六级作文/翻译中的“举例说明”功能。,2,CET6-Writing,37,P10.1.1 curated seed
个人经历,举例说明,My own experience also proves that [point].,我的个人经历也证明[观点]。,My own experience also proves that planning ahead can reduce anxiety.,我自己的经历也证明，提前规划可以减少焦虑。,[point].,适用于六级作文/翻译中的“举例说明”功能。,2,CET6-Writing,38,P10.1.1 curated seed
典型表现,举例说明,A typical example is that [example].,一个典型表现是[例子]。,A typical example is that students often use apps to record vocabulary progress.,一个典型表现是，学生经常使用应用记录单词学习进度。,[example].,适用于六级作文/翻译中的“举例说明”功能。,3,CET6-Writing,39,P10.1.1 curated seed
具体来说,举例说明,"To be specific, [detail].",具体来说，[细节]。,"To be specific, libraries can extend opening hours during exam weeks.",具体来说，图书馆可以在考试周延长开放时间。,[detail].,适用于六级作文/翻译中的“举例说明”功能。,3,CET6-Writing,40,P10.1.1 curated seed
然而,对比转折,"However, [contrast].",然而，[转折内容]。,"However, excessive dependence on smartphones may weaken face-to-face communication.",然而，过度依赖智能手机可能削弱面对面交流。,[contrast].,适用于六级作文/翻译中的“对比转折”功能。,1,CET6-Writing,41,P10.1.1 curated seed
相反,对比转折,"By contrast, [opposite situation].",相比之下，[相反情况]。,"By contrast, traditional reading encourages patience and deep thinking.",相反，传统阅读鼓励耐心和深入思考。,[opposite,适用于六级作文/翻译中的“对比转折”功能。,1,CET6-Writing,42,P10.1.1 curated seed
一方面另一方面,对比转折,"On the one hand, [A]. On the other hand, [B].",一方面[A]；另一方面[B]。,"On the one hand, online learning is convenient. On the other hand, it requires strong self-discipline.",一方面，在线学习很方便；另一方面，它需要很强的自律能力。,[A].; [B].,适用于六级作文/翻译中的“对比转折”功能。,1,CET6-Writing,43,P10.1.1 curated seed
尽管如此,对比转折,"Nevertheless, [contrast].",尽管如此，[转折内容]。,"Nevertheless, technology itself should not be blamed for every problem.",尽管如此，技术本身不应为所有问题负责。,[contrast].,适用于六级作文/翻译中的“对比转折”功能。,2,CET6-Writing,44,P10.1.1 curated seed
虽然但是,对比转折,"Although [concession], [main point].",虽然[让步]，但是[主要观点]。,"Although competition can motivate students, excessive pressure may harm their health.",虽然竞争能够激励学生，但过度压力可能损害他们的健康。,"[concession],; [main",适用于六级作文/翻译中的“对比转折”功能。,2,CET6-Writing,45,P10.1.1 curated seed
并非而是,对比转折,"[Topic] is not merely [A]; rather, it is [B].",[话题]不仅仅是[A]，更是[B]。,"Education is not merely the accumulation of knowledge; rather, it is the development of judgment.",教育不仅仅是知识的积累，而是判断力的发展。,[Topic]; [A];; [B].,适用于六级作文/翻译中的“对比转折”功能。,2,CET6-Writing,46,P10.1.1 curated seed
不同于,对比转折,"Unlike [A], [B] tends to [feature].",不同于[A]，[B]往往[特点]。,"Unlike passive entertainment, reading tends to train concentration.",不同于被动娱乐，阅读往往能训练专注力。,"[A],; [B]; [feature].",适用于六级作文/翻译中的“对比转折”功能。,2,CET6-Writing,47,P10.1.1 curated seed
不能忽视,对比转折,This does not mean that we should ignore [opposite factor].,这并不意味着我们应该忽视[相反因素]。,This does not mean that we should ignore the value of traditional classrooms.,这并不意味着我们应忽视传统课堂的价值。,[opposite,适用于六级作文/翻译中的“对比转折”功能。,2,CET6-Writing,48,P10.1.1 curated seed
优势局限,对比转折,"While [A] has advantages, its limitations are also obvious.",虽然[A]有优势，但其局限也很明显。,"While online shopping has advantages, its limitations are also obvious.",虽然网购有其优势，但它的局限也很明显。,[A],适用于六级作文/翻译中的“对比转折”功能。,3,CET6-Writing,49,P10.1.1 curated seed
更重要的是,对比转折,"More importantly, [stronger point].",更重要的是，[更强观点]。,"More importantly, students should learn to evaluate information critically.",更重要的是，学生应学会批判性地评估信息。,[stronger,适用于六级作文/翻译中的“对比转折”功能。,3,CET6-Writing,50,P10.1.1 curated seed
此外,递进补充,"In addition, [additional point].",此外，[补充观点]。,"In addition, regular feedback can help students adjust their learning methods.",此外，定期反馈能够帮助学生调整学习方法。,[additional,适用于六级作文/翻译中的“递进补充”功能。,1,CET6-Writing,51,P10.1.1 curated seed
而且,递进补充,"Moreover, [additional point].",而且，[补充观点]。,"Moreover, cultural exchange can deepen mutual understanding.",而且，文化交流能够加深相互理解。,[additional,适用于六级作文/翻译中的“递进补充”功能。,1,CET6-Writing,52,P10.1.1 curated seed
同样重要,递进补充,Equally important is [factor].,同样重要的是[因素]。,Equally important is the ability to cooperate with others.,同样重要的是与他人合作的能力。,[factor].,适用于六级作文/翻译中的“递进补充”功能。,1,CET6-Writing,53,P10.1.1 curated seed
更进一步,递进补充,"Furthermore, [additional point].",进一步说，[补充观点]。,"Furthermore, public libraries can provide equal access to knowledge.",更进一步，公共图书馆能够提供平等获取知识的机会。,[additional,适用于六级作文/翻译中的“递进补充”功能。,2,CET6-Writing,54,P10.1.1 curated seed
不仅而且,递进补充,"Not only does [A] [effect A], but it also [effect B].",[A]不仅[作用A]，而且[作用B]。,"Not only does exercise strengthen the body, but it also improves mood.",运动不仅能强健身体，也能改善情绪。,[A]; [effect; [effect,适用于六级作文/翻译中的“递进补充”功能。,2,CET6-Writing,55,P10.1.1 curated seed
除此之外,递进补充,"Apart from [A], [B] also deserves attention.",除了[A]之外，[B]也值得关注。,"Apart from academic knowledge, communication skills also deserve attention.",除了学术知识，沟通能力也值得关注。,"[A],; [B]",适用于六级作文/翻译中的“递进补充”功能。,2,CET6-Writing,56,P10.1.1 curated seed
还应注意,递进补充,It should also be noted that [point].,还应注意的是，[观点]。,It should also be noted that privacy protection requires legal support.,还应注意，隐私保护需要法律支持。,[point].,适用于六级作文/翻译中的“递进补充”功能。,2,CET6-Writing,57,P10.1.1 curated seed
进一步影响,递进补充,"Beyond that, [point].",除此以外，[观点]。,"Beyond that, good habits can influence a person's long-term development.",除此之外，良好习惯会影响一个人的长期发展。,[point].,适用于六级作文/翻译中的“递进补充”功能。,2,CET6-Writing,58,P10.1.1 curated seed
从长远看,递进补充,"In the long run, [long-term effect].",从长远看，[长期影响]。,"In the long run, lifelong learning will improve one's adaptability.",从长远看，终身学习会提高一个人的适应能力。,[long-term,适用于六级作文/翻译中的“递进补充”功能。,3,CET6-Writing,59,P10.1.1 curated seed
更不用说,递进补充,Not to mention [additional factor].,更不用说[补充因素]。,Not to mention the financial pressure faced by many families.,更不用说许多家庭所面临的经济压力。,[additional,适用于六级作文/翻译中的“递进补充”功能。,3,CET6-Writing,60,P10.1.1 curated seed
因此,结果影响,"Therefore, [result].",因此，[结果]。,"Therefore, students should learn to use digital tools wisely.",因此，学生应该学会明智地使用数字工具。,[result].,适用于六级作文/翻译中的“结果影响”功能。,1,CET6-Writing,61,P10.1.1 curated seed
结果是,结果影响,"As a result, [result].",结果是，[结果]。,"As a result, many young people find it difficult to concentrate for a long time.",结果是，许多年轻人发现自己很难长时间集中注意力。,[result].,适用于六级作文/翻译中的“结果影响”功能。,1,CET6-Writing,62,P10.1.1 curated seed
导致,结果影响,[Cause] may lead to [result].,[原因]可能导致[结果]。,Lack of exercise may lead to physical and mental health problems.,缺乏锻炼可能导致身心健康问题。,[Cause]; [result].,适用于六级作文/翻译中的“结果影响”功能。,1,CET6-Writing,63,P10.1.1 curated seed
产生影响,结果影响,[Factor] has a profound impact on [target].,[因素]对[对象]有深远影响。,Family education has a profound impact on children's values.,家庭教育对孩子的价值观有深远影响。,[Factor]; [target].,适用于六级作文/翻译中的“结果影响”功能。,2,CET6-Writing,64,P10.1.1 curated seed
积极影响,结果影响,[Action] can bring about positive changes in [area].,[行动]能给[领域]带来积极变化。,Volunteering can bring about positive changes in students' sense of responsibility.,志愿服务能够给学生的责任感带来积极变化。,[Action]; [area].,适用于六级作文/翻译中的“结果影响”功能。,2,CET6-Writing,65,P10.1.1 curated seed
负面影响,结果影响,"If left unchecked, [problem] may give rise to [negative result].",如果不加控制，[问题]可能引发[负面结果]。,"If left unchecked, food waste may give rise to serious environmental problems.",如果不加控制，食物浪费可能引发严重的环境问题。,[problem]; [negative,适用于六级作文/翻译中的“结果影响”功能。,2,CET6-Writing,66,P10.1.1 curated seed
长期结果,结果影响,The long-term consequence is that [result].,长期后果是[结果]。,The long-term consequence is that students may lose the ability to think independently.,长期结果是，学生可能失去独立思考的能力。,[result].,适用于六级作文/翻译中的“结果影响”功能。,2,CET6-Writing,67,P10.1.1 curated seed
促进,结果影响,[Action] will contribute to [positive result].,[行动]将有助于[积极结果]。,Reading will contribute to a deeper understanding of society.,阅读将有助于更深入地理解社会。,[Action]; [positive,适用于六级作文/翻译中的“结果影响”功能。,2,CET6-Writing,68,P10.1.1 curated seed
损害,结果影响,[Problem] may undermine [value/system].,[问题]可能损害[价值/系统]。,Academic dishonesty may undermine trust in the education system.,学术不诚信可能损害人们对教育体系的信任。,[Problem]; [value/system].,适用于六级作文/翻译中的“结果影响”功能。,3,CET6-Writing,69,P10.1.1 curated seed
改善,结果影响,[Measure] can improve [situation] to a large extent.,[措施]能在很大程度上改善[情况]。,A reasonable schedule can improve study efficiency to a large extent.,合理的时间表能在很大程度上提高学习效率。,[Measure]; [situation],适用于六级作文/翻译中的“结果影响”功能。,3,CET6-Writing,70,P10.1.1 curated seed
采取措施,解决措施,Effective measures should be taken to [goal].,应采取有效措施来[目标]。,Effective measures should be taken to reduce food waste on campus.,应采取有效措施减少校园食品浪费。,[goal].,适用于六级作文/翻译中的“解决措施”功能。,1,CET6-Writing,71,P10.1.1 curated seed
政府措施,解决措施,The government should [action] in order to [goal].,政府应[行动]以便[目标]。,The government should improve public transportation in order to reduce traffic pressure.,政府应改善公共交通，以减轻交通压力。,[action]; [goal].,适用于六级作文/翻译中的“解决措施”功能。,1,CET6-Writing,72,P10.1.1 curated seed
学校措施,解决措施,Universities are supposed to [action].,大学应该[行动]。,Universities are supposed to provide more mental health services.,大学应该提供更多心理健康服务。,[action].,适用于六级作文/翻译中的“解决措施”功能。,1,CET6-Writing,73,P10.1.1 curated seed
个人措施,解决措施,Individuals should make conscious efforts to [action].,个人应有意识地努力[行动]。,Individuals should make conscious efforts to protect personal information online.,个人应有意识地努力保护网络个人信息。,[action].,适用于六级作文/翻译中的“解决措施”功能。,2,CET6-Writing,74,P10.1.1 curated seed
共同努力,解决措施,Only through joint efforts can we [goal].,只有通过共同努力，我们才能[目标]。,Only through joint efforts can we build a more inclusive society.,只有通过共同努力，我们才能建设一个更加包容的社会。,[goal].,适用于六级作文/翻译中的“解决措施”功能。,2,CET6-Writing,75,P10.1.1 curated seed
加强意识,解决措施,It is necessary to raise people’s awareness of [issue].,有必要提高人们对[问题]的意识。,It is necessary to raise people's awareness of environmental protection.,有必要提高人们的环保意识。,[issue].,适用于六级作文/翻译中的“解决措施”功能。,2,CET6-Writing,76,P10.1.1 curated seed
制定规则,解决措施,Clear rules should be established to [goal].,应建立明确规则来[目标]。,Clear rules should be established to prevent academic cheating.,应制定明确规则以防止学术作弊。,[goal].,适用于六级作文/翻译中的“解决措施”功能。,2,CET6-Writing,77,P10.1.1 curated seed
鼓励参与,解决措施,More people should be encouraged to [action].,应鼓励更多人[行动]。,More people should be encouraged to take part in community service.,应鼓励更多人参与社区服务。,[action].,适用于六级作文/翻译中的“解决措施”功能。,2,CET6-Writing,78,P10.1.1 curated seed
提升能力,解决措施,Students need to improve their ability to [action].,学生需要提高[行动]的能力。,Students need to improve their ability to manage time effectively.,学生需要提升有效管理时间的能力。,[action].,适用于六级作文/翻译中的“解决措施”功能。,3,CET6-Writing,79,P10.1.1 curated seed
具体建议,解决措施,A practical solution is to [action].,一个实际可行的解决办法是[行动]。,A practical solution is to set aside a fixed period for deep reading every day.,一个实际的解决办法是每天留出固定时间进行深度阅读。,[action].,适用于六级作文/翻译中的“解决措施”功能。,3,CET6-Writing,80,P10.1.1 curated seed
总之,总结升华,"In conclusion, [summary].",总之，[总结]。,"In conclusion, reading plays an irreplaceable role in personal growth.",总之，阅读在个人成长中发挥着不可替代的作用。,[summary].,适用于六级作文/翻译中的“总结升华”功能。,1,CET6-Writing,81,P10.1.1 curated seed
概括来说,总结升华,"To sum up, [summary].",概括来说，[总结]。,"To sum up, technology should serve people rather than control them.",概括来说，技术应服务于人，而不是控制人。,[summary].,适用于六级作文/翻译中的“总结升华”功能。,1,CET6-Writing,82,P10.1.1 curated seed
只有这样,总结升华,Only in this way can we [goal].,只有这样，我们才能[目标]。,Only in this way can we make real progress in environmental protection.,只有这样，我们才能在环境保护方面取得真正进展。,[goal].,适用于六级作文/翻译中的“总结升华”功能。,1,CET6-Writing,83,P10.1.1 curated seed
展望未来,总结升华,"Looking ahead, [future expectation].",展望未来，[未来期待]。,"Looking ahead, online education will become more personalized and flexible.",展望未来，在线教育将变得更加个性化和灵活。,[future,适用于六级作文/翻译中的“总结升华”功能。,2,CET6-Writing,84,P10.1.1 curated seed
呼吁行动,总结升华,It is time for us to [action].,现在是我们[行动]的时候了。,It is time for us to pay more attention to mental health.,现在是我们更加关注心理健康的时候了。,[action].,适用于六级作文/翻译中的“总结升华”功能。,2,CET6-Writing,85,P10.1.1 curated seed
强调价值,总结升华,What truly matters is [value].,真正重要的是[价值]。,What truly matters is the courage to keep learning.,真正重要的是持续学习的勇气。,[value].,适用于六级作文/翻译中的“总结升华”功能。,2,CET6-Writing,86,P10.1.1 curated seed
长期意义,总结升华,The significance of [topic] goes far beyond [surface].,[话题]的意义远不止[表面层面]。,The significance of volunteer work goes far beyond helping others.,志愿服务的意义远不止帮助他人。,[topic]; [surface].,适用于六级作文/翻译中的“总结升华”功能。,2,CET6-Writing,87,P10.1.1 curated seed
保持平衡,总结升华,A balanced approach is the key to [goal].,平衡的方法是实现[目标]的关键。,A balanced approach is the key to using smartphones properly.,平衡的方法是正确使用智能手机的关键。,[goal].,适用于六级作文/翻译中的“总结升华”功能。,2,CET6-Writing,88,P10.1.1 curated seed
个人成长,总结升华,"Ultimately, [topic] is about [deeper meaning].",归根结底，[话题]关乎[更深意义]。,"Ultimately, education is about becoming a responsible and thoughtful person.",归根结底，教育关乎成为一个有责任感且善于思考的人。,[topic]; [deeper,适用于六级作文/翻译中的“总结升华”功能。,3,CET6-Writing,89,P10.1.1 curated seed
共同未来,总结升华,The future of [topic] depends on [condition].,[话题]的未来取决于[条件]。,The future of cultural exchange depends on openness and mutual respect.,文化交流的未来取决于开放和相互尊重。,[topic]; [condition].,适用于六级作文/翻译中的“总结升华”功能。,3,CET6-Writing,90,P10.1.1 curated seed
图表显示,图表描述,"As is shown in the chart, [trend/data].",如图表所示，[趋势/数据]。,"As is shown in the chart, online learning has increased steadily.",如图表所示，在线学习稳步增长。,[trend/data].,适用于六级作文/翻译中的“图表描述”功能。,1,CET6-Writing,91,P10.1.1 curated seed
明显趋势,图表描述,The chart clearly reveals a trend that [trend].,图表清楚显示出[趋势]。,The chart clearly reveals a trend that more students choose digital reading.,图表清楚显示出越来越多学生选择数字阅读的趋势。,[trend].,适用于六级作文/翻译中的“图表描述”功能。,1,CET6-Writing,92,P10.1.1 curated seed
数据上升,图表描述,The figure rose from [number A] to [number B].,该数据从[数字A]上升到[数字B]。,The figure rose from 35% to 68% within five years.,该数字在五年内从35%上升到68%。,[number; [number,适用于六级作文/翻译中的“图表描述”功能。,1,CET6-Writing,93,P10.1.1 curated seed
数据下降,图表描述,The figure dropped from [number A] to [number B].,该数据从[数字A]下降到[数字B]。,The figure dropped from 60% to 42% after new rules were introduced.,新规则实施后，该数字从60%下降到42%。,[number; [number,适用于六级作文/翻译中的“图表描述”功能。,2,CET6-Writing,94,P10.1.1 curated seed
占比最大,图表描述,[Item] accounts for the largest proportion.,[项目]占比最大。,Online courses account for the largest proportion.,在线课程占比最大。,[Item],适用于六级作文/翻译中的“图表描述”功能。,2,CET6-Writing,95,P10.1.1 curated seed
相比之下,图表描述,"By comparison, [item] takes up only [percentage].",相比之下，[项目]仅占[比例]。,"By comparison, printed newspapers take up only 12%.",相比之下，纸质报纸仅占12%。,[item]; [percentage].,适用于六级作文/翻译中的“图表描述”功能。,2,CET6-Writing,96,P10.1.1 curated seed
稳定增长,图表描述,There was a steady increase in [item].,[项目]出现稳定增长。,There was a steady increase in the number of students joining volunteer programs.,参加志愿服务项目的学生人数稳步增长。,[item].,适用于六级作文/翻译中的“图表描述”功能。,2,CET6-Writing,97,P10.1.1 curated seed
显著变化,图表描述,A significant change can be observed in [item].,[项目]可观察到显著变化。,A significant change can be observed in students' reading habits.,学生的阅读习惯出现了显著变化。,[item].,适用于六级作文/翻译中的“图表描述”功能。,2,CET6-Writing,98,P10.1.1 curated seed
原因解释,图表描述,This change may be explained by [reason].,这一变化可由[原因]解释。,This change may be explained by the convenience of mobile devices.,这一变化可以用移动设备的便利性来解释。,[reason].,适用于六级作文/翻译中的“图表描述”功能。,3,CET6-Writing,99,P10.1.1 curated seed
总结图表,图表描述,"Overall, the chart suggests that [conclusion].",总体来看，图表表明[结论]。,"Overall, the chart suggests that digital learning is becoming a mainstream choice.",总体来看，图表表明数字学习正在成为主流选择。,[conclusion].,适用于六级作文/翻译中的“图表描述”功能。,3,CET6-Writing,100,P10.1.1 curated seed
写信目的,书信表达,I am writing to [purpose].,我写信是为了[目的]。,I am writing to apply for the position of volunteer.,我写信是为了申请志愿者职位。,[purpose].,适用于六级作文/翻译中的“书信表达”功能。,1,CET6-Writing,101,P10.1.1 curated seed
